text,cmp_code
Wall Street must never again be allowed to threaten families and businesses on Main Street.,regulationism
"Democrats believe we are stronger when we protect citizens’ right to vote, while stopping corporations’ outsized influence in elections.",regulationism
"We will fight to end the broken campaign finance system,",regulationism
"overturn the disastrous Citizens United decision,",regulationism
"restore the full power of the Voting Rights Act,",progressivism
and return control of our elections to the American people.,progressivism
Democrats believe we are stronger and safer when America brings the world together and leads with principle and purpose.,progressivism
"We believe we should strengthen our alliances, not weaken them.",progressivism
We believe in the power of development and diplomacy.,progressivism
"We believe our military should be the best-trained, best-equipped fighting force in the world,",pro-militarily
and that we must do everything we can to honor and support our veterans.,progressivism
"And we know that only the United States can mobilize common action on a truly global scale, to take on the challenges that transcend borders, from international terrorism to climate change to health pandemics.",progressivism
"Above all, Democrats are the party of inclusion.",progressivism
We know that diversity is not our problem—it is our promise.,progressivism
"As Democrats, we respect differences of perspective and belief, and pledge to work together to move this country forward, even when we disagree.",progressivism
"With this platform, we do not merely seek common ground—we strive to reach higher ground.",progressivism
We are proud of our heritage as a nation of immigrants.,progressivism
"We know that today’s immigrants are tomorrow’s teachers, doctors, lawyers, government leaders, soldiers, entrepreneurs, activists, PTA members, and pillars of our communities.",progressivism
"We believe in protecting civil liberties and guaranteeing civil rights and voting rights, women’s rights and workers’ rights, LGBT rights, and rights for people with disabilities.",progressivism
"We believe America is still, as Robert Kennedy said, “a great country, an unselfish country, and a compassionate country.”",conservatism
The stakes have been high in previous elections.,conservatism
"But in 2016, the stakes can be measured in human lives—in the number of immigrants who would be torn from their homes;",progressivism
in the number of faithful and peaceful Muslims who would be barred from even visiting our shores;,progressivism
in the number of allies alienated and dictators courted;,progressivism
in the number of Americans who would lose access to health care and see their rights ripped away.,regulationism
This election is about more than Democrats and Republicans.,conservatism
"It is about who we are as a nation, and who we will be in the future.",conservatism
"Two hundred and forty years ago, in Philadelphia, we started a revolution of ideas and of action that continues to this day.",conservatism
"Since then, our union has been tested many times, through bondage and civil war, segregation and depression, two world wars and the threat of nuclear annihilation.",conservatism
Generations of Americans fought and marched and organized to widen the circle of opportunity and dignity—and we are fighting still.,conservatism
"Despite what some say, America is and has always been great—but not because it has been perfect.",conservatism
What makes America great is our unerring belief that we can make it better.,conservatism
"We can and we will build a more just economy,",regulationism
"a more equal society,",progressivism
and a more perfect union—because we are stronger together.,conservatism
Democrats believe we must break down all the barriers holding Americans back,regulationism
"If you work hard and play by the rules, you can get ahead and stay ahead.",regulationism
"The system is not working when we have a rigged economy in which ordinary Americans work longer hours for lower wages,",regulationism
while most new income and wealth goes to the top one percent.,regulationism
"Republican governors, legislatures, and their corporate allies have launched attack after attack on workers’ fundamental rights to organize and bargain collectively.",progressivism
"Too many Americans are living paycheck to paycheck,",progressivism
"and hallmarks of a middle class life—owning a home,",laissez-faire
"having access to affordable and quality childcare,",regulationism
retiring with dignity,progressivism
—feel out of reach.,regulationism
It is no wonder so many Americans feel like the deck is stacked against them.,regulationism
"The Democratic Party believes that supporting workers through higher wages,",progressivism
"workplace protections,",progressivism
"policies to balance work and family,",progressivism
and other investments will help rebuild the middle class for the 21st century.,regulationism
Democrats believe that the current minimum wage is a starvation wage and must be increased to a living wage.,regulationism
No one who works full time should have to raise a family in poverty.,progressivism
We believe that Americans should earn at least $15 an hour,regulationism
and have the right to form or join a union,progressivism
"and will work in every way we can—in Congress and the federal government, in states and with the private sector—to reach this goal.",progressivism
"We should raise the federal minimum wage to $15 an hour over time and index it,",regulationism
"give all Americans the ability to join a union regardless of where they work,",progressivism
and create new ways for workers to have power in the economy so every worker can earn at least $15 an hour.,regulationism
We applaud the approaches taken by states like New York and California.,laissez-faire
We also support creating one fair wage for all workers by ending the sub-minimum wage for tipped workers and people with disabilities.,progressivism
"Democrats support a model employer executive order or some other vehicle to leverage federal dollars to support employers who provide their workers with a living wage,",progressivism
"good benefits,",progressivism
and the opportunity to form a union without reprisal.,progressivism
"The Democratic Party believes that when workers are strong, America is strong.",progressivism
"Democrats will make it easier for workers, public and private, to exercise their right to organize and join unions.",progressivism
"We will fight to pass laws that direct the National Labor Relations Board to certify a union if a simple majority of eligible workers sign valid authorization cards,",progressivism
as well as laws that bring companies to the negotiating table.,progressivism
We support binding arbitration to help workers who have voted to join a union reach a first contract.,progressivism
A major factor in the 40-year decline in the middle class is that the rights of workers to bargain collectively for better wages and benefits have been under attack at all levels.,progressivism
Donald Trump would make matters worse by creating a race to the bottom where the middle class is fighting over fewer and fewer good-paying jobs.,progressivism
Democrats believe so-called “right to work” laws are wrong for workers—such as teachers and other public employees who serve our communities every day—and wrong for America.,progressivism
"We will continue to vigorously oppose those laws and other efforts that would eliminate dues check-off procedures,",progressivism
"roll-back prevailing wage standards,",progressivism
"abolish fair share requirements,",progressivism
"restrict the use of voluntary membership payments for political purposes,",progressivism
"attack seniority, restrict due process protections,",progressivism
and require annual recertification efforts.,progressivism
We oppose legislation and lawsuits that would strike down laws protecting the rights of teachers and other public employees.,progressivism
"We will defend President Obama's overtime rule, which protects of millions of workers by paying them fairly for their hard work.",progressivism
"The Democratic Party believes consumers, workers, students, retirees, and investors who have been mistreated should never be denied their right to fight for fair treatment under the law.",progressivism
"That is why we will support efforts to limit the use of forced arbitration clauses in employment and service contracts, which unfairly strip consumers, workers, students, retirees, and investors of their right to their day in court.",regulationism
"We will fight to secure equal pay for women, which will benefit all women and their families,",progressivism
"particularly women of color who are disproportionately impacted by discriminatory pay practices, and against other factors that contribute to the wage gap.",progressivism
And we will combat the discrimination they face on and off the job.,progressivism
"While Donald Trump thinks it is “dangerous” for women to leave the home and paid family leave hurts our economy,",progressivism
Democrats will make sure that the United States finally enacts national paid family and medical leave by passing a family and medical leave act that would provide all workers at least 12 weeks of paid leave to care for a new child or address a personal or family member’s serious health issue.,progressivism
We will fight to allow workers the right to earn at least seven days of paid sick leave.,regulationism
We will also encourage employers to provide paid vacation.,regulationism
Our work and family policies must also help family caregivers.,progressivism
"We will ensure that family caregivers have the support, respite care, and training they need to support their loved ones.",regulationism
"We will create a strong stable paid caregiving workforce to help meet families' needs, by raising wages, improving access to training, and giving workers the opportunity to come together to make their voices heard in support of a stronger system.",regulationism
We will address the conditions that make it hard for workers with unpredictable or inflexible schedules to meet caregiving responsibilities.,progressivism
We will take steps to expand and strengthen the home care workforce.,regulationism
"We will increase investments  to make quality childcare more affordable,",regulationism
"boost wages for childcare workers,",progressivism
"and support the millions of people paying for, coordinating, or providing care for aging relatives or those with disabilities.",regulationism
"Corporate profits are at near-record highs,",regulationism
but workers have not shared through rising wages.,regulationism
Profit-sharing is linked to higher pay and productivity.,regulationism
"That is why, working with business, labor, and other stakeholders,",conservatism
"we will incentivize companies to share profits with their employees on top of wages and pay increases,",regulationism
while targeting the workers and businesses that need profit-sharing the most.,regulationism
Democrats will continue to fight for those families who suffered the loss of their homes.,regulationism
We will help those who are working toward a path of financial stability and will put sustainable home ownership into the reach of more families.,laissez-faire
"Democrats will also combat the affordable housing crisis and skyrocketing rents in many parts of the country,",regulationism
which is leading too many families and workers to be pushed out of communities where they work.,regulationism
We will preserve and increase the supply of affordable rental housing by expanding incentives to ease local barriers to building new affordable rental housing developments in areas of economic opportunity.,laissez-faire
"Not only will this help address the affordable housing crisis, it will also create millions of good-paying jobs in the process.",progressivism
"Democrats believe that we should provide more federal resources to the people struggling most with unaffordable housing: low-income families, people with disabilities, veterans, and the elderly.",progressivism
especially in communities of color;,progressivism
create affordable and workforce housing;,regulationism
and preserve neighborhood-serving nonprofit organizations and small businesses.,regulationism
"And we will fight for robust funding to end homelessness in our cities and counties once and for all, through targeted investments to provide the necessary outreach, social services, and housing options for all populations experiencing homelessness.",progressivism
"We will engage in a stronger, more coordinated, and better funded partnership among federal, state, and local governments to end chronic homelessness for millions of Americans.",progressivism
We will build on and expand President Obama's promising initiatives to end veteran and family homelessness in our country.,progressivism
We must make sure that everyone has a fair shot at homeownership.,laissez-faire
We will keep the housing market robust and inclusive by supporting more first-time homebuyers and putting more Americans into the financial position to become sustainable homeowners;,regulationism
preserving the 30-year fixed rate mortgage; modernizing credit scoring; clarifying lending rules; expanding access to housing counseling; defending and strengthening the Fair Housing Act;,regulationism
"and ensuring that regulators have the clear direction, resources, and authority to enforce those rules effectively.",regulationism
We will prevent predatory lending by defending the Consumer Financial Protection Bureau (CFPB).,regulationism
"These steps are especially important because over the next decade most new households will be formed by families in communities of color, which typically have less generational wealth and fewer resources to put towards a down payment.",progressivism
"Democrats are proud to be the party that created Social Security, one of the nation’s most successful and effective programs.",regulationism
"Without Social Security, nearly half of America’s seniors would be living in poverty.",regulationism
Social Security is more than just a retirement program.,regulationism
It also provides important life insurance to young survivors of deceased workers and provides disability insurance protection.,progressivism
"We will fight every effort to cut, privatize, or weaken Social Security, including attempts to raise the retirement age, diminish benefits by cutting cost-of-living adjustments, or reducing earned benefits.",regulationism
"Democrats will expand Social Security so that every American can retire with dignity and respect,",regulationism
"including women who are widowed or took time out of the workforce to care for their children, aging parents, or ailing family members.",progressivism
"The Democratic Party recognizes that the way Social Security cost-of- living adjustments are calculated may not always reflect the spending patterns of seniors, particularly the disproportionate amount they spend on health care expenses.",regulationism
We are committed to exploring alternatives that could better and more equitably serve seniors.,regulationism
"We will make sure Social Security’s guaranteed benefits continue for generations to come by asking those at the top to pay more,",regulationism
"and will achieve this goal by taxing some of the income of people above $250,000.",regulationism
The Democratic Party is also committed to providing all necessary financial support for the Social Security Administration so that it can provide timely benefits and high-quality service for those it serves.,regulationism
He has referred to Social Security as a “Ponzi scheme” and has called for privatizing it as well as increasing the retirement age.,regulationism
Democrats believe it should be easier for Americans to save for retirement and prepare for unforeseen risks and expenses.,progressivism
We will defend the right of workers to collect their defined benefit pensions and make sure workers get priority and protection when pension plans are in distress.,progressivism
"Democrats will also fight to enact legislation to make sure that the earned pension benefits of Americans will not be cut,",regulationism
and will pay for it by closing tax loopholes that benefit millionaires and billionaires.,regulationism
"We will fight against any attempt by Republicans in Congress or on Wall Street to roll back the Conflict of Interest Rule, which requires that retirement advisors put the best interests of their clients above their own financial gain.",regulationism
"Seniors should not have to choose between putting food on the table, keeping a roof over their heads, or buying the medication that they need to stay healthy.",progressivism
"We strongly support the Older Americans Act, which funds critical programs to help seniors remain independent in their own homes and communities.",regulationism
"We are also committed to fighting the immense problem of elder abuse, neglect, and exploitation.",progressivism
The United States Postal Service (USPS) is a national treasure.,regulationism
"That is why Democrats embrace a vibrant, public Postal Service that offers universal service, and reject any effort to privatize or marginalize it.",regulationism
We are committed to eliminating the unsustainable mandate to “pre-fund” retiree health costs.,regulationism
"And we will work to restore service to appropriate levels, including overnight delivery of first-class mail and periodicals within the same metropolitan area, maintaining six-day and door-to-door delivery, and appointing members to the Board of Governors and the Postal Regulatory Commission who champion a strong public Postal Service.",regulationism
Democrats also advocate for expanding postal services.,regulationism
This includes offering basic financial services such as paycheck cashing and removing statutory restraints on services the USPS may offer.,regulationism
It also includes promoting vote-by-mail to increase voter participation and to help address the scourge of voter suppression.,progressivism
Democrats know that nothing is more important than creating good-paying jobs that can support a middle-class life,progressivism
"—from nurses, firefighters, and teachers to construction workers, factory workers, and small business owners.",progressivism
"That is why we are committed to doing everything we can to build a full-employment economy, where everyone has a job that pays enough to raise a family and live in dignity with a sense of purpose.",progressivism
"If we are serious about reversing the decline of the middle class, we need major federal investments to rebuild our crumbling infrastructure",jianshe
and put millions of Americans back to work in decent paying jobs in both the public and private sectors.,progressivism
demand that we make the most ambitious investment in American infrastructure since President Eisenhower created the interstate highway system.,jianshe
"We will put Americans to work updating and expanding our roads, bridges, public transit, airports, and passenger and freight rail lines.",jianshe
"We will build 21st century energy and water systems, modernize our schools, and continue to support the expansion of high-speed broadband networks.",jianshe
"These investments will create secure, good-paying middle-class jobs today and will substantially increase demand for American-made steel and other products manufactured in the United States.",progressivism
"And by boosting economic growth in a fair and equitable way, and strengthening our long-term competitiveness, these investments will create many more jobs in the years to come.",progressivism
"Democrats will also create an independent, national infrastructure bank that will support critical infrastructure improvements.",jianshe
"This bank will provide loans and other financial assistance for investments in energy, water, broadband, transportation, and multi-modal infrastructure projects.",jianshe
Democrats will continue to support the interest tax exemption on municipal bonds and will work to establish a permanent version of Build America Bonds as an additional tool to encourage infrastructure investment by state and local governments.,laissez-faire
"Furthermore, Democrats will fight to ensure resources and programs are adequately targeted to provide economic development, job training, and critical infrastructure investment in areas of the greatest need.",jianshe
"Democrats believe one of the best ways to innovate, prosper, and create good-paying jobs is to make more in America, which is why we firmly support American manufacturing with a “Make it in America” plan.",progressivism
We must revitalize hard-hit manufacturing communities;,progressivism
create thriving hubs of manufacturing and innovation throughout the country;,progressivism
"and claw back tax breaks for companies that ship jobs overseas, using the proceeds to reinvest in communities and workers at home instead.",laissez-faire
"Democrats are proud of rescuing the auto industry from collapse, which saved more than a million jobs, and led the auto industry, which is at the heart of American manufacturing, to record sales.",laissez-faire
"Democrats will defend the Export-Import Bank, which supports good-paying jobs across the country and allows American workers and manufacturers to compete on a level playing field.",laissez-faire
American workers deserve better.,progressivism
"Democrats support ambitious public and private investments in science, technology, and research.",jianshe
We are focused on creating good jobs in communities across America.,progressivism
"Entrepreneurship and innovation are fundamental to our future economic growth—in the information technology (IT) industry as well as energy, manufacturing, transportation, health, retail, services, and countless other sectors.",laissez-faire
"We will nurture the next generation of scientists, engineers, and entrepreneurs,",jianshe
"especially women and people of color,",progressivism
to make sure America continues to out-compete and out-innovate the rest of the world with our bold innovation agenda.,jianshe
"New technologies are already transforming our economy, and they have the power to generate trillions in economic output.",jianshe
"We must harness these forces so that they create higher-paying jobs across the country,",progressivism
"bring more people into the workforce,",progressivism
and reduce inequality.,progressivism
"To do this, we need to educate our people",regulationism
and train our workforce;,jianshe
support entrepreneurship,laissez-faire
and promote inclusion in the digital economy;,progressivism
"and invest in research and development, innovation hubs, as well as in getting ideas to market.",jianshe
We also need to ensure that all students have the opportunity to learn computer science by the time they graduate from high school.,regulationism
and enhance opportunities to achieve greater economic self-sufficiency for people with disabilities.,progressivism
"We will encourage technology transfer, entrepreneurship, and small business creation throughout the country and in all types of innovation sectors.",laissez-faire
"High-speed internet connectivity is not a luxury; it is a necessity for 21st century economic success, social mobility, education, health care, and public safety.",jianshe
"Despite considerable progress and private investment in the last eight years to close the digital divide, there is more work to do.",jianshe
"Democrats will finish the job of connecting every household in America to high-speed broadband, increase internet adoption, and help hook up anchor institutions so they can offer free WiFi to the public.",jianshe
"We will take action to help America widely deploy 5G technology—the next generation wireless service that will not only bring faster internet connections to underserved areas, but will enable the Internet of Things and a host of transformative technologies.",jianshe
"Democrats support a free and open internet at home and abroad, and will oppose any effort by Republicans to roll back the historic net neutrality rules that the Federal Communications Commission enacted last year.",progressivism
Democrats value American innovation and believe it is one of our country’s great strengths.,jianshe
"We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.",progressivism
The entire nation prospers when we promote the unique and original artistic and cultural contributions of the women and men who create and preserve our nation’s heritage.,progressivism
Democrats will fight against unfair theft of intellectual property and trade secrets.,progressivism
"We will increase access to global markets for American intellectual property and other digital trade by opposing quotas, discriminatory measures, and data localization requirements.",laissez-faire
Pushing beyond the boundaries of what we know is core to who we are as Americans.,conservatism
"Democrats are immensely proud of all that the National Aeronautics and Space Administration (NASA) has done—through its achievements in science, technology and exploration—to better understand our place in the universe",jianshe
and inspire and educate generations of young people in this country to pursue careers in science.,jianshe
"Space exploration is a reminder that our capacity for curiosity is limitless, and may be matched only by our ability to achieve great things if we work together.",jianshe
Democrats believe in continuing the spirit of discovery that has animated NASA’s exploration of space over the last half century.,jianshe
We will strengthen support for NASA and work in partnership with the international scientific community to launch new missions to space.,jianshe
"The Democratic Party will make it easier to start and grow a small business in America,",regulationism
"unlike Donald Trump, who has often stiffed small businesses—nearly bankrupting some—with his deceptive and reckless corporate practices.",regulationism
"By supporting small business and entrepreneurship, we can grow jobs faster in America.",regulationism
We will cut the red tape that holds back small businesses and entrepreneurs.,laissez-faire
We will open up access to credit because we know that small businesses are some of the best job creators in our country.,regulationism
We will provide tax relief and tax simplification.,laissez-faire
"And we will expand access to new markets because every American small business should be able to tap new markets — whether across their city, across their state, or around the world.",laissez-faire
Democrats will provide targeted funding and support for entrepreneurship and small business growth in underserved communities.,laissez-faire
"Democrats also realize the critical importance of small businesses as engines of opportunity for women, people of color, tribes, and people in rural America, and will work to nurture entrepreneurship.",progressivism
Democrats will make investments to spur the creation of millions of jobs for our young people.,progressivism
"Roughly one in ten Americans between the ages of 16 and 24 is unemployed, more than twice the national average.",progressivism
"The unemployment rates for African American, Latino, Asian American and Pacific Islander (AAPI), and American Indian teenager sand youth with disabilities are far too high.",progressivism
That is why Democrats will provide direct federal funding for a range of local programs that will put young people to work and create new career opportunities.,progressivism
"Democrats believe that today’s extreme levels of income and wealth inequality are bad for our people, bad for our businesses, and bad for our economy.",progressivism
"Our country depends on a thriving middle class to drive economic growth, but the middle class is shrinking.",progressivism
"Meanwhile, the top one-tenth of one percent of Americans now own almost as much wealth as the bottom 90 percent combined.",regulationism
These trends create problems beyond insulting our sense of basic fairness.,progressivism
Social mobility is far lower than most believe it to be.,regulationism
Children who are born to families in the lowest fifth of earnings are more than 10 times more likely to remain there as adults than they are to earn as much as those in the top fifth.,progressivism
"Unless we invest in building a level playing field, we all lose.",progressivism
"To restore economic fairness, Democrats will fight against the greed and recklessness of Wall Street.",regulationism
"Wall Street cannot be an island unto itself, gambling trillions in risky financial instruments and making huge profits, all the while thinking that taxpayers will be there to bail them out again.",regulationism
We must tackle dangerous risks in big banks and elsewhere in the financial system.,regulationism
"We must make Wall Street work for the job-creating, productive economy—including by making loans more affordable for small- and medium-sized businesses.",regulationism
We need to prohibit Wall Street from picking and choosing which credit agency will rate its products as well as from imposing excessive fees on consumers.,regulationism
And we must hold both individuals and corporations accountable when they break the law.,conservatism
Democrats believe that no bank can be too big to fail and no executive too powerful to jail.,regulationism
Democrats will support stronger criminal laws and civil penalties for Wall Street criminals who prey on the public trust.,conservatism
"We also support extending the statute of limitations for prosecuting major financial fraud, and providing the Department of Justice, the Securities and Exchange Commission, and the Commodity Futures Trading Commission more resources to prosecute wrongdoing.",conservatism
“Equal Justice Under Law” will not just be words engraved on the entrance of the Supreme Court.,progressivism
It will be the standard that applies to Wall Street and all Americans.,regulationism
"We will also vigorously implement, enforce, and build on President Obama’s landmark Dodd-Frank financial reform law, and we will stop dead in its tracks every Republican effort to weaken it.",regulationism
"We will stop Republican efforts to hamstring our regulators through budget cuts,",regulationism
and we will ensure they have the resources and independence to fully enforce the law and hold both individuals and corporations accountable when they break the rules.,regulationism
We will also continue to protect consumers and defend the CFPB from Republican attacks.,regulationism
"We oppose any efforts to change the CFPB’s structure from a single director to a partisan, gridlocked Commission and likewise oppose any efforts to remove the Bureau’s independent funding and subject it to the appropriations process.",regulationism
Democrats will also continue to support the CFPB in enforcing foundational civil rights laws protecting against discrimination in consumer lending.,progressivism
"Democrats condemn predatory payday lending, and will protect consumers by defending the CFPB and implementing strong new regulations.",regulationism
"Our goal must be to create a financial system and an economy that works for all Americans, not just a handful of billionaires.",regulationism
"We support a financial transactions tax on Wall Street to curb excessive speculation and high-frequency trading, which has threatened financial markets.",regulationism
We acknowledge that there is room within our party for a diversity of views on a broader financial transactions tax.,regulationism
"Democrats will not hesitate to use and expand existing authorities as well as empower regulators to downsize or break apart financial institutions when necessary to protect the public and safeguard financial stability, including new authorities to go after risky shadow-banking activities.",regulationism
Banks should not be able to gamble with taxpayers’ deposits or pose an undue risk to Main Street.,regulationism
"Democrats support a variety of ways to stop this from happening, including an updated and modernized version of Glass-Steagall as well as breaking up too-big-to-fail financial institutions that pose a systemic risk to the stability of our economy.",regulationism
We believe that personnel is policy.,regulationism
We will nominate and appoint regulators and officials who are not beholden to the industries they regulate—people with a track record of standing up to power and safeguarding the public trust.,regulationism
We will crack down on the revolving door between the private sector—particularly Wall Street—and the federal government.,regulationism
We will ban golden parachutes for those taking government jobs.,regulationism
We will limit conflicts of interest by requiring bank and corporate regulators to recuse themselves from official work on particular matters that would directly benefit their former employers.,regulationism
And we will bar financial service regulators from lobbying their former colleagues for at least two years.,regulationism
We will protect and defend the Federal Reserve’s independence to carry out the dual mandate assigned to it by Congress—for both full employment and low inflation—against threats from new legislation.,regulationism
"We will also reform the Federal Reserve to make it more representative of America as a whole,",regulationism
and we will fight to enhance its independence by ensuring that executives of financial institutions are not allowed to serve on the boards of regional Federal Reserve banks or to select members of those boards.,regulationism
"At a time when many of the largest banks have shunned communities across America, Democrats believe that we need to give Americans affordable banking options, including by empowering the United States Postal Service to facilitate the delivery of basic banking services.",regulationism
Large corporations have concentrated their control over markets to a greater degree than Americans have seen in decades,regulationism
—further evidence that the deck is stacked for those at the top.,regulationism
Democrats will take steps to stop corporate concentration in any industry where it is unfairly limiting competition.,regulationism
"We will make competition policy and antitrust stronger and more responsive to our economy today,",regulationism
"enhance the antitrust enforcement arms of the Department of Justice (DOJ) and the Federal Trade Commission (FTC),",regulationism
and encourage other agencies to police anti-competitive practices in their areas of jurisdiction.,regulationism
"We support the historic purpose of the antitrust laws to protect competition and prevent excessively consolidated economic and political power,",regulationism
which can be corrosive to a healthy democracy.,progressivism
"We support reinvigorating DOJ and FTC enforcement of antitrust laws to prevent abusive behavior by dominant companies,",regulationism
"and protecting the public interest against abusive, discriminatory, and unfair methods of commerce.",regulationism
"We support President Obama’s recent Executive Order, directing all agencies to identify specific actions they can take in their areas of jurisdiction to detect anticompetitive practices—such as tying arrangements, price fixing, and exclusionary conduct",regulationism
—and to refer practices that appear to violate federal antitrust law to the DOJ and FTC.,regulationism
"At a time of massive income and wealth inequality,",progressivism
we believe the wealthiest Americans and largest corporations must pay their fair share of taxes.,progressivism
"Democrats will claw back tax breaks for companies that ship jobs overseas,",progressivism
"eliminate tax breaks for big oil and gas companies,",regulationism
and crack down on inversions and other methods companies use to dodge their tax responsibilities.,regulationism
"We will make sure that our tax code rewards businesses that make investments and provide good-paying jobs here in the United States, not businesses that walk out on America.",regulationism
We will end deferrals so that American corporations pay United States taxes immediately on foreign profits and can no longer escape paying their fair share of U.S. taxes by stashing profits abroad.,regulationism
We will then use the revenue raised from fixing the corporate tax code to reinvest in rebuilding America,jianshe
that will lead to millions of good-paying jobs.,progressivism
We will ensure those at the top contribute to our country’s future by establishing a multimillionaire surtax to ensure millionaires and billionaires pay their fair share.,progressivism
"In addition, we will shut down the “private tax system” for those at the top,",regulationism
"immediately close egregious loopholes like those enjoyed by hedge fund managers, restore fair taxation on multimillion dollar estates,",regulationism
and ensure millionaires can no longer pay a lower rate than their secretaries.,progressivism
"At a time of near-record corporate profits, slow wage growth, and rising costs,",regulationism
we need to offer tax relief to middle-class families,regulationism
—not those at the top.,regulationism
"Democrats believe that no one should be able avoid paying their fair share by hiding money abroad,",progressivism
and that corrupt leaders and terrorists should not be able to use the system of international finance to their advantage.,pro-militarily
We will work to crack down on tax evasion,regulationism
and promote transparency to fight corruption and terrorism.,pro-militarily
And we will make sure that law-abiding Americans living abroad are not unfairly penalized by finding the right solutions for them to the requirements under the Foreign Account Tax Compliance Act (FATCA) and Report of Foreign Bank and Financial Accounts (FBAR).,progressivism
"Donald Trump and the Republican Party would do the opposite and provide trillions in tax cuts for millionaires, billionaires, and corporations",regulationism
"at the expense of working families, seniors, and the health of our economy.",progressivism
"Democrats acknowledge that for millions of Americans, global trade has failed to live up to its promise",conservatism
—with too many countries breaking the rules,conservatism
and too many corporations outsourcing jobs at the expense of American workers and communities.,progressivism
"Over the past three decades, America has signed too many trade deals that have not lived up to the hype.",conservatism
"Trade deals often boosted the profits of large corporations,",regulationism
"while at the same time failing to protect workers’ rights, labor standards,",progressivism
and public health.,regulationism
We need to end the race to the bottom and develop trade policies that support jobs in America.,progressivism
That is why Democrats believe we should review agreements negotiated years ago to update them to reflect these principles.,progressivism
Any future trade agreements must make sure our trading partners cannot undercut American workers by taking shortcuts on labor policy,progressivism
"They must not undermine democratic decision-making through special privileges and private courts for corporations,",progressivism
and trade negotiations must be transparent and inclusive.,regulationism
"Democrats’ priority is to significantly strengthen enforcement of existing trade rules and the tools we have, including by holding countries accountable on currency manipulation and significantly expanding enforcement resources.",conservatism
China and other countries are using unfair trade practices to tilt the playing field against American workers and businesses.,conservatism
That has to stop.,conservatism
Democrats will use all our trade enforcement tools to hold China and other trading partners accountable—because no country should be able to manipulate their currencies to gain a competitive advantage.,conservatism
"While we believe that openness to the world economy is an important source of American leadership and dynamism,",laissez-faire
"we will oppose trade agreements that do not support good American jobs, raise wages,",progressivism
and improve our national security.,pro-militarily
Trade agreements should crack down on the unfair and illegal subsidies other countries grant their businesses at the expense of ours.,laissez-faire
It should promote innovation of and access to lifesaving medicines.,jianshe
And it should protect a free and open internet.,progressivism
Democrats believe that everyone deserves the chance to live up to his or her God-given potential.,progressivism
"We know that there are barriers standing in the way of that goal,",progressivism
from the enduring scourge of systemic racism,progressivism
to our deeply broken immigration system,progressivism
to discrimination against people on the basis of sexual orientation or gender identity,progressivism
—and we are committed to facing those problems and fixing them.,progressivism
"Being stronger together means reaching communities that have been left out and left behind for too long, from coal country to Indian Country to neighborhoods held back by multigenerational poverty.",progressivism
