,text,cmp_code,eu_code
317,o The abolition of the special pension plan for parliamentarians.,503,
318,o They will be attached to the general regime.,503,
319,"o The presentation, by the President of the Republic, of his national and European record once a year before the Congress.",202.3,
320,· We will improve the renewal and pluralism of our political life.,202.3,
321,o We will reduce the number of deputies and senators by about a third.,204,
322,o They will have additional means to do their job.,202.3,
323,o We will oblige political parties to respect parity in the presentation of their candidates.,503,
324,o And we will reduce public funding of political parties which will have an unbalanced representation in terms of parity.,503,
325,o We will make the emergency procedure the default procedure for examining legislative texts in order to accelerate parliamentary work.,204,
326,"o We will start a renovation of parliamentary functioning by limiting the number of months during which the Parliament legislates and by reserving more time for the evaluation and control of the government's action, based on the work of the court ofaccounts.",204,
327,· We will develop the participation of citizens.,202.4,
328,"o We will ask parliamentarians to set up innovative devices for evaluating parliamentary and legislative work (citizens' juries, mandate reports via social networks ...).",202.4,
329,"o We will encourage municipalities to develop participatory budgets, that is to say to consult citizens directly on the use of public money.",202.4,
330,The territories that make our France,H,
331,"Many of our territories feel neglected, even abandoned.",503,
332,"Besides France of metropolises, where many succeed, there are popular districts and suburbs where everything is harder and more complicated, even if they are only a few kilometers away.",503,
333,"Many French people have settled a little further, to look for a little cheaper or a little more spacious accommodation, but they must face ever greater distances to find a job, put their children at school, get treatmentor access quality leisure.",503,
334,There is France of rurality.,703.1,
335,She is a depositary on the one hand of our identity.,703.1,
336,And we do not have the right to let some territories die like many of our peasants sometimes feel.,703.1,
337,There is the overseas France.,601.1,
338,"Thanks to her, we are present around the world.",601.1,
339,"But too often, we do not consider it at its fair value.",601.1,
340,We are proud of all these territories.,503,
341,Tied.,503,
342,Because all have assets to succeed.,503,
343,Together.,503,
344,· We will exempt from the housing tax all French people from the middle and popular classes (80% of households).,503,
345,· It is an unjust tax: you often pay much more when you live in a popular commune than in a rich commune.,503,
346,"· As early as 2020, 4 out of 5 French people will no longer pay the housing tax, and the State will fully reimburse their shortfall, to the nearest euro, preserving their tax autonomy.",503,
347,We will cover in very high speed or fiber the entire territory.,411,
348,"· It will be done by the end of the next five -year period, to leave no territory to lagging through the digital transition.",411,
349,"Telephone operators will double mobile coverage in rural areas to reduce the areas without network, and the state will take responsibility wherever necessary.",411,
350,We will reduce the administrative millefeuille.,303,
351,"We will remove at least a quarter of the departments, where they can be brought closer to one of our large metropolises.",302,
352,· We will speed up the construction of housing where it is necessary.,403,
353,We will set up accelerated procedures in areas where housing is too expensive.,403,
354,· This will build housing faster and lower real estate prices.,403,
355,· We will radically reform our transport policy.,411,
356,"· Because the challenge is no longer to build motorways, airports and TGV lines everywhere.",411,
357,"· It is, thanks to our investment plan, to modernize existing networks and to develop new services so that all territories are effectively connected to the places of work, education, culture or care.",411,
358,· We will launch an agricultural transition plan of 5 billion euros.,703.1,
359,"· It will support all the projects for upmarket of farms, adaptation to environmental standards and animal welfare.",703.1,
360,· We will develop territorial continuity for the benefit of overseas.,303,
361,"· By the end of the five-year term, we will offer at least 200,000 plane tickets to assisted prices in particular for students and entrepreneurs each year for their mobility between overseas and France, and intheir regional environment.",706,
362,· We will set up overseas the French agency for biodiversity.,501,
363,· We will allow overseas communities to modify common law regulations to adapt it to their particular situation.,301,
364,Seriousness and responsibility,H,
365,We all know that the state is heavily in debt.,414,
366,There is no policy that is worth without budgetary responsibility.,414,
367,This is why we have to reduce our deficits.,414,
368,France has engaged there but it is above all a duty with regard to future generations.,414,
369,The first requirement is to respect this commitment to the French.,414,
370,"We will therefore save 60 billion, by empowering ministers on their expense reduction goals.",414,
371,"The second requirement is to make choices: targeting a small number of priority expenses (education, defense, security and justice) and select the decreases of levies that will create economic activity and thejob.",414,
372,"Our tax cuts will be distributed fairly between households and businesses, and will be funded by our savings.",414,
373,We will end tax instability.,303,
374,An orientation law passed in 2017 will fix for 5 years the evolution of taxation on the five -year term.,303,
375,We will not reform several times the same tax in the five -year term.,303,
376,The third requirement is to reconnect with excellence of our public services.,303,
377,"We are attached to our hospital, to our school.",303,
378,"We want them to become the best again, so that our public officials are respected at their fair value.",303,
379,"We want an agile state, focused on the country's priorities, which adapts to our needs and our lifestyles.",303,
380,"Efficiency, simplicity, adaptability: this is also how we will save money.",414,
381,The fourth requirement is to invest to transform.,411,
382,"In the digital age, ecological transition, skills revolution is the condition to spend less and better tomorrow: to train the unemployed rather than waiting for the economy better",411,
383,;isolate buildings rather than spending too much in heating,416.2,
384,;And modernize agriculture rather than paying emergency aid.,703.1,
385,We will quickly draw the fruits.,410,
