"text","cmp_code","eu_code"
"We ran a temporary deficit in 2009 to help protect and create jobs in the face of the worst global economic recession since the 1930s.","409",NA
"But as part of our Economic Action Plan, we also set out a clear, credible plan to return to a balanced budget.","414",NA
"And we've been focused on that plan ever since.","414",NA
"Unlike the previous Liberal government,","305",NA
"we've continued to increase transfer payments to the provinces and territories for health care and education as we promised.","301",NA
"And we've kept taxes low.","414",NA
"Instead, we've eliminated the deficit by controlling government spending,","414",NA
"by eliminating waste and duplication,","303",NA
"and by getting rid of outdated or ineffective programs.","303",NA
"Our plan is working.","305",NA
"We returned to balance in 2014-15 – a full year ahead of schedule.","414",NA
"And, according to the Department of Finance, we're on track for the second balanced budget in a row this year.","414",NA
"Canada's sound public finances are the envy of the world, a source of our economic strength, and a re-elected Conservative Government will ensure they remain that way.","305",NA
"Spending beyond our means, as the Liberals and NDP would have us do, would cause structural deficits that would damage our economy,","305",NA
"lead to tax hikes and program cuts,","305",NA
"and burden future generations with heavy debt.","305",NA
"We need only to look around the world at countries like Greece to see the consequences of profligate and irresponsible spending.","305",NA
"That's not our plan, and not the way forward for Canada.","305",NA
"We'll continue to advance our low-tax, balanced budget plan for jobs and growth,","410",NA
"and we'll continue to operate in the black, spending sensibly within our means and keeping the books balanced.","414",NA
"A re-elected Conservative Government will balance the budget every year in the next four years","414",NA
"while keeping taxes low,","410",NA
"increasing transfers to the provinces and territories for health care and education,","301",NA
"and making affordable investments to protect the economy and help Canadian families.","410",NA
"We'll accomplish this by controlling the growth of direct program spending","414",NA
"and maintaining the operating budget freeze for one more year.","414",NA
"These steps will provide the fiscal room to make the affordable investments set out in our plan","410",NA
"and ensure that the budget remains balanced without raising taxes.","414",NA
"Our plan is based on the fiscal projections in the 2015 Budget presented in April.","305",NA
"These projections were based on independent, expert advice from Canada's leading private-sector economists, and include contingencies of up to $3 billion per year to account for the current global economic uncertainty.","305",NA
"Put simply: Canadians can count on us to keep the budget balanced and taxes low in the next four years.","414",NA
"We're so committed to these goals, we'll entrench them in law.","414",NA
"Our balanced budget legislation ensures that the only acceptable deficit is one that responds to a recession or truly extraordinary circumstances.","414",NA
"Deficits outside of these rare scenarios are unacceptable.","414",NA
"A re-elected Conservative Government will follow the Federal Budget Balanced Act to keep spending under control, the budget balanced, and taxes low.","414",NA
"We will also continue to reduce Canada's debt burden to meet our debt-to-GDP target of 25 percent by 2021.","414",NA
"Canada now has the lowest debt levels by far among G-7 countries,","414",NA
"and we'll make sure our children and grandchildren aren't forced to pay the price for reckless borrowing and spending.","414",NA
"Canadians know they can trust us to lower their taxes and keep them low.","305",NA
"This is a major point of difference between our Conservative Party and the Liberals and NDP.","305",NA
"These two parties have promised some combination of higher taxes on individuals, families, seniors, and small businesses","305",NA
"– including taking away income splitting","305",NA
"and eliminating Tax- Free Savings Accounts in whole or in part.","305",NA
"Our low-tax pledge is rooted in our record.","305",NA
"Canadians know that we'll do what we say and that we'll manage taxpayer dollars responsibly.","305",NA
"But unlike the Liberals and NDP, we're prepared to go even further and entrench our low-tax plan in legislation.","305",NA
"A re-elected Conservative Government will pass legislation imposing a “tax lock” that prohibits increases to federal personal and business income tax rates, sales tax rates, and discretionary payroll taxes over the next four years.","414",NA
"This pledge backs our low-tax commitment with the force of the law.","414",NA
"AT RISK",NA,NA
"Our Conservative Government is the only party in this election with a clear plan to keep the budget balanced and taxes low.","305",NA
"Not only do we have a clear track record, but we're putting forward new measures to ensure the budget stays balanced and the tax burden continues to fall.","305",NA
"The Liberals and NDP have put forward plans to run large, permanent deficits, hike taxes on workers, families, and small businesses, and leave our economy exposed.","305",NA
"They'll do this by:   Adding billions of dollars in new spending, running ongoing, permanent deficits, and accumulating billions more in debt.","305",NA
"Repealing our balanced budget legislation so they can run deficits without being accountable to Canadians.","305",NA
"Putting important programs like health care and education at risk as a result of their reckless and irresponsible spending.","305",NA
"Eliminating the Family Tax Cut which is providing up to $2,000 in tax relief for 1.7 million families.","305",NA
"Taking away the monthly Universal Child-Care Benefit which is providing nearly $2,000 per year for children under age 6, and more than $700 per year for children aged 6 to 17.","305",NA
"The UCCB goes to all the nearly four million families with children.","305",NA
"Shutting down Tax-Free Savings Accounts which are helping 11 million Canadians save and grow their savings tax-free.","305",NA
"Cancelling Pension Income Splitting which is providing one million senior couples with more than $1 billion annual tax relief.","305",NA
"Hiking payroll taxes – as much as $1,000 per year for someone making $60,000 – on Canadian workers and small businesses.","305",NA
"Driving up the price of everything Canadian families buy – including gasoline, groceries, and home heating fuel – by imposing carbon pricing schemes on the Canadian economy.","305",NA
"OUR CONSERVATIVE PLAN FOR A STRONGER ECONOMY",NA,NA
"To protect our economy and create jobs, a re-elected Conservative Government will:   Aim to create 1.3 million new jobs by 2020","410",NA
"Cut taxes on small businesses from 11 to 9 percent","402",NA
"Lower payroll taxes on small businesses and workers by more than 20 percent","402",NA
"Implement the Trans-Pacific Partnership free trade agreement","407",NA
"Provide new incentives for manufacturers to purchase equipment","411",NA
"and invest in new technologies","411",NA
"Grant tax relief to businesses that hire apprentices","411",NA
"As much of the rest of the world continues to struggle with the fallout from the recent global financial recession, Canada has emerged in a position of relative strength.","305",NA
"We have one of the best job-creation records in the G-7.","305",NA
"Indeed, since the depths of the global recession, 1.3 million net new jobs – mostly well-paying, full-time positions in the private sector – have been created.","305",NA
"That's more Canadians working than before the recession.","305",NA
"That's more Canadians working than ever before in our country's history.","305",NA
"And it's so much more than just a number.","410",NA
"With every job created, there's another Canadian who knows the dignity of supporting his or her family, and another family with a brighter future.","410",NA
"Having a good job is the difference between worrying about today and dreaming about tomorrow – which is why the creation of new, well-paying jobs for Canadians will continue to be our top priority.","410",NA
"The best way to ensure more and better jobs is to create the right conditions for our enterprising businesses to do what they do best.","410",NA
"Businesses create jobs and opportunities that make our economy stronger, and the new products and ideas that make our lives better.","410",NA
"That means continuing with our Conservative plan to balance the budget, keep taxes and debt low,","414",NA
"open new markets for Canadians products,","407",NA
"make smart, affordable investments in the economy,","410",NA
"and support entrepreneurs and small businesses as they hire and grow.","410",NA
"Keeping our budget balanced","414",NA
"and lowering taxes on small businesses is the right way for government to protect Canada's fragile economy and create jobs.","402",NA
"The other parties have a different vision.","305",NA
"The Liberals and NDP believe that they can raise taxes, run deficits, and accumulate more government debt without killing jobs.","305",NA
"But all you have to do is look around the world to see the consequences of that type of high-tax, high-debt agenda.","305",NA
"It saps small business ingenuity and diminishes the reward for innovation and hard-work.","305",NA
"It punishes success and discourages entrepreneurs from entering the market.","305",NA
"It chokes off job creation and, ultimately, wrecks economies.","305",NA
"In Canada, it would mean more Canadians out of work and looking for jobs.","305",NA
"Canadians simply can't afford the high-tax agenda of the Liberals and NDP.","305",NA
"The path forward is clear: only a re-elected Conservative Government will continue to implement its low-tax, balanced budget plan to protect Canada's economy","414",NA
"and create jobs.","410",NA
"This is the right path.","305",NA
"It's working.","305",NA
"And we intend to keep moving forward.","305",NA
"A re-elected Conservative Government will build on our job-creation record by implementing a positive plan to create 1.3 million net new jobs by 2020.","410",NA
"KEEPING TAXES LOW",NA,NA
"We understand that keeping taxes low helps small businesses to grow and create new, well-paying jobs.","410",NA
"Because of our low-tax, balanced budget plan for jobs and economic growth, Canada has the lowest overall tax rate on new business investment of all the major advanced economies,","410",NA
"and our tax rate on small businesses continues to fall.","410",NA
"Canada is now often cited as one of the best countries in the world in which to do business.","410",NA
"A re-elected Conservative Government will maintain and build on this low-tax record.","402",NA
"We will not raise taxes on the businesses that create jobs for Canadians or on Canadian workers.","402",NA
"Our “tax lock” legislation will prohibit income and sales tax rate increases and discretionary payroll tax hikes on Canadian businesses and workers for the next four years.","402",NA
"Instead, we will carry out our plan to lower the tax rate on small businesses – which we've already lowered from 13 percent to 11 percent – another two percentage points, to nine percent, by 2019.","402",NA
"This is the largest reduction in the small business tax rate in a quarter century.","402",NA
"The Liberals and NDP have promised to raise payroll taxes on workers and small businesses by billions of dollars.","305",NA
"But we know that lower payroll taxes encourage small businesses to hire more Canadians, and to pay them higher wages.","410",NA
"That's why we've worked so hard to keep those taxes down.","305",NA
"Our low-tax record is clear.","305",NA
"We have kept payroll taxes low","402",NA
"and in 2014 we created the two-year Small Business Job Credit to provide more than $550 million in payroll tax relief for 780,000 job-creating businesses across the country.","402",NA
"A re-elected Conservative Government will continue to lower these taxes.","402",NA
"Beginning in 2017, when the current freeze on EI premiums expires, we will lower them by more than 20 percent – a substantial benefit to Canadian small businesses and workers.","402",NA
"Our small businesses will be able to hire even more workers, and for 16 million Canadian workers, it'll mean a significant salary raise.","402",NA
"We're the only party - the only ones that can be trusted - to keep taxes low on small businesses and their workers for the next four years.","305",NA
"OPENING MARKETS FOR CANADIAN BUSINESSES",NA,NA
"From the days of the French and British traders who first laid the foundations of our modern economy, Canada has been a trading nation.","407",NA
"Trade is the lifeblood of our economy.","407",NA
"It accounts for 60 percent of our GDP, and one in five Canadian jobs.","407",NA
"Canadian businesses and workers know instinctively that we can compete with the world's best as long as the playing field is level.","407",NA
"We also know that we're better off when our goods and services can reach global markets without barriers and restrictions.","407",NA
"Yet previous governments failed Canadians when it came to negotiating trade access for Canadian products.","305",NA
"While other countries were busy signing free-trade deals and receiving preferential access to important markets, the Liberals weren't even at the negotiating table.","305",NA
"And Canadian businesses and workers suffered.","305",NA
"Our Conservative Government has reversed this inaction and opened up new markets for Canadian products and services.","407",NA
"When we took office Canada had free trade agreements with only five other countries.","305",NA
"We've now reached agreements with 44, countries, encompassing more than half the global marketplace, including historic trade deals with South Korea and the European Union, with its 500-million person, $18-trillion economy.","407",NA
"These agreements have given Canadian businesses and their workers access to more than half the global marketplace.","407",NA
"Yet there's more to accomplish.","407",NA
"In the past few days we have concluded the Trans-Pacific Partnership (TPP) agreement with 11 other founding countries, including the United States, Japan, Australia, and New Zealand.","407",NA
"The TPP is the largest free trade deal in history.","407",NA
"It gives  greater access for Canadian goods and services to almost 800 million consumers throughout the fast-growing Asia-Pacific region.","407",NA
"It's a great deal for Canada that will significantly benefit our economy and Canadians' prosperity.","407",NA
"The TPP will protect and create jobs,","407",NA
"grow Canada's economy,","407",NA
"and provide financial security to workers and businesses in all regions of the country.","407",NA
"It guarantees preferential access for Canadian goods and services in a range of sectors including agriculture and agri-food, fish and seafood, forestry, metals and mining, and manufactured industrial goods.","407",NA
"The Trans-Pacific Partnership is a historic agreement that will protect and create jobs, and grow Canada's economy now and in the future.","407",NA
"That's why a re-elected Conservative Government will ratify and implement the TPP.","407",NA
"As part of the TPP negotiations, we've defended and protected Canada's supply management system, as we committed to.","407",NA
"We've limited access to only three and one quarter percent of our dairy market.","703",NA
"And we've announced key programs to ensure Canada's supply-managed sectors -- and the communities that depend on them -- continue to thrive.","703",NA
"To ensure stability for supply-managed farmers through the implementation of our trade agreements, we've established long-term income and quota guarantee programs.","703",NA
"And we're supporting investment in cutting-edge technologies for our processing sector and marketing of world-class Canadian products, which are of the highest quality.","411",NA
"Free trade only works when it's also fair – and this means a modern and effective system of remedy when a Canadian company has been treated unjustly.","407",NA
"A re-elected Conservative Government will take steps to modernize our system and ensure that it's comparable with the practices and policies of our main trading partners.","407",NA
"To this end we'll:   Mandate the Canada Border Services Agency to carry out a full investigation of trade complaints even in cases when preliminary reviews by the Canadian International Trade Tribunal come back negative.","407",NA
"Require the Canadian International Trade Tribunal to carry out an automatic five-year review of every finding of non-compliance, to ensure the conflict has been resolved in a satisfactory manner.","407",NA
"Continue to work with stakeholders such as the Canadian Steel Producers Association to ensure that the system is effective and accessible, and ultimately creates a level-playing field for Canadian businesses.","407",NA
"The federal government provides a wide range of programs and services to firms looking to invest in Canada and to Canadian businesses trying to sell their goods and services abroad.","407",NA
"These initiatives help attract investment and job creation in Canada","407",NA
"and support export-oriented Canadian businesses in their search for new market opportunities and new customers.","407",NA
"There remains, however, room for improvement.","403",NA
"The system can be difficult for small firms to navigate.","403",NA
"Government efforts to attract investment and promote job creation can sometimes be stymied by a lack of coordination.","407",NA
"A re-elected Conservative Government will establish an Investment and Trade Promotion Office with a mandate to coordinate the government's various efforts to encourage businesses in other countries to invest in Canada,","407",NA
"and to promote Canadian exports abroad.","407",NA
"The Office will be a one-stop shop to attract investment and product mandates to Canada","407",NA
"and help growing Canadian businesses enter new markets.","407",NA
"CUTTING RED TAPE",NA,NA
"Small businesses should be focused on creating jobs, not filling out paperwork.","303",NA
"That's why our Conservative Government has made it a priority to reduce bureaucratic red tape.","303",NA
"We've passed world-leading “One-for- One” legislation that requires bureaucrats to eliminate a current regulation before establishing a new one.","303",NA
"We've taken steps to harmonize Canadian regulations with those of our major trading partners.","407",NA
"And we've improved the way we consult with small business owners about government policy.","303",NA
"The result of all this is a dramatic change in the culture of the federal government, putting unprecedented emphasis on the needs of Canadian small businesses.","303",NA
"And the benefits so far are clear: Small businesses are now spending $32 million less sorting through regulatory red tape.","303",NA
"That's hundreds of thousands of working hours Canadians are now spending building their businesses instead of filling out forms.","303",NA
"But there's always more that can be done.","303",NA
"A re-elected Conservative Government will build on this record by:   Launching a new round of consultations, asking small business owners across the country for feedback on our current reforms and suggestions for future measures.","303",NA
"Expanding the “red tape baseline,” increasing significantly the scope of the red tape burden subject to the One-for-One rule.","303",NA
"And with a more comprehensive baseline, challenging ourselves to reduce the overall burden by 20 percent.","303",NA
"We'll achieve this goal while maintaining the highest standards in all areas, including health and safety.","303",NA
"To achieve our 20 percent target we will take short-term, immediate action to cut red tape in ways that are real, measureable and meaningful to Canadians.","303",NA
"We'll work with the Retail Council of Canada to better harmonize Canada's child car seat regulations with the United States.","303",NA
"This will reduce the red tape burden for our retailers,","303",NA
"and at the same time allow them to offer greater choice and better prices to Canadian parents with young families.","401",NA
"And we'll make life easier for the 1.2 million Canadians who claim home-office expense deductions, 80 percent of whom are self-employed.","504",NA
"Anyone who makes a claim once will be able to use the same cost estimates, adjusted for inflation, in subsequent years.","303",NA
"MANUFACTURING STRATEGY",NA,NA
"In a fast-changing world, here's one thing that hasn't changed: Canada's manufacturing sector is absolutely vital to our growing economy.","410",NA
"It accounts for about 11 percent of our GDP, 61 percent of Canadian exports, and provides good, secure jobs to almost 1.7 million Canadians across the country.","410",NA
"Indirectly, it employs many millions more.","410",NA
"Manufacturing firms pay out $1.85 billion weekly in salaries to Canadian workers across the country.","410",NA
"But what is changing is the nature of the work.","411",NA
"It's becoming more skilled, more specialized, and more globally competitive.","411",NA
"Liberal leader Justin Trudeau says that manufacturing's time is passed, that it's time for Canada to “transition away” from manufacturing.","305",NA
"Our Conservative Government disagrees.","305",NA
"Manufacturing has played a key role in Canada's economy since before Confederation – and, with the right plan, will continue to sustain high-quality, high-paying jobs and economic activity across the country.","410",NA
"Our Conservative Government has a positive plan to sustain our manufacturing sector.","410",NA
"We're:   Lowering taxes to make it easier for manufacturers to invest in advanced technology and equipment.","411",NA
"Helping Canadians acquire the skills and training they need to take advantage of new opportunities in manufacturing.","411",NA
"Opening new markets for manufacturers to find customers and sell their products.","407",NA
"Making strategic investments to encourage research and development and the creation of new products and technologies.","411",NA
"This is what our manufacturing strategy is all about.","305",NA
"And it's working.","305",NA
"Manufacturing wages are up nearly 20 percent since we've come to office.","410",NA
"But there's more to be done to support what the Canadian Manufacturers & Exporters have called our “manufacturing renaissance.”","410",NA
"Manufacturers need to invest in new machinery and equipment to remain globally competitive, expand their businesses, and create good new jobs.","410",NA
"To help with this, we've reduced taxes steadily on these investments.","402",NA
"A re-elected Conservative Government will carry out our ten-year plan to lower the tax burden on Canadian manufacturers that acquire the machinery and equipment they need to succeed.","402",NA
"Canada is attracting high-quality, value-added manufacturing investment.","410",NA
"But more can be done to bolster advanced manufacturing across the country.","410",NA
"A re-elected Conservative Government will support a new Advanced Manufacturing Hub in partnership with employers, our colleges and universities, and other stakeholders to encourage the development of new cutting-edge products and technologies.","402",NA
"The new center, located in Southwestern Ontario, will become a catalyst for high-quality, value-added investment and jobs in the manufacturing sector.","402",NA
"A re-elected Conservative Government will establish a $100-million Manufacturing Technology Demonstration Fund to support large-scale, cutting-edge manufacturing projects in the developmental, pre-commercial stages.","402",NA
"This fund will build on our existing significant investments in science and technology to make Canada a world leader in new manufacturing technologies.","411",NA
"We'll also renew the Automotive Innovation Fund for ten years, beginning in 2018-19, at baseline funding of $100 million per year.","402",NA
"This will help to create a stable, predictable environment for new automotive investment in Canada.","402",NA
"In addition, we'll change the program's parameters in the immediate term to include bricks and mortar as eligible expenses","402",NA
"and offer grants rather than repayable loans for greenfield investments and investments in existing facilities that guarantee a long-term presence and operation.","402",NA
"We still believe the phrase ""Made in Canada"" translates well around the world: It means high-quality goods built by highly skilled workers, and it inspires confidence that a product is the very best.","601",NA
"And on our watch, Canada will never turn away from this legacy of excellence.¸","601",NA
"SKILLS TRAINING FOR NEW AND BETTER JOBS",NA,NA
"A big part of our Conservative Government's agenda has been providing support to those Canadians looking to upgrade their skills for a new job,","411",NA
"enter the skilled trades,","411",NA
"or obtain credential recognition for their international training.","411",NA
"Having the right skills is often the key to finding a new job or getting a pay raise.","411",NA
"As part of this agenda, our Government has always made a priority of supporting apprenticeships and Canadians working in the skilled trades.","411",NA
"These are the people who are literally building this great country,","411",NA
"and one estimate predicts that Canada will need one million more skilled workers by 2020.","411",NA
"One measure we've taken to help young Canadians launch careers in the skilled trades is the Apprenticeship Job Creation Tax Credit.","411",NA
"The program has been a resounding success, with the number of businesses using this tax credit rising six fold – from about 2,000 to almost 12,000 and nearly 68,000 apprentices.","411",NA
"To build on this success, and to encourage more employers to create more jobs for the next generation of skilled workers, a re-elected Conservative Government will take further steps to support those who wish to enter the skilled trades","411",NA
"and to help Canadians wishing to update their skills for a new or better-paying jobs.","411",NA
"These steps include:   Enhancing and extending the Apprenticeship Job Creation Tax Credit – raising the amount employers can claim to $2,500","411",NA
"and extending the credit into the third and fourth years of an apprenticeship program.","411",NA
"Establishing a new Skilled Trades Job Experience Program to help up to 2,000 young Canadians get valuable job experience working in the skilled trades.","411",NA
"Working with the provinces and territories, employers, and interested post-secondary institutions to develop curriculum that better responds to employer and market needs.","411",NA
"Implementing Canada Apprentice Loans to help aspiring tradespeople get the training they need.","411",NA
"Continuing to support skills-training programming such as the Aboriginal Skills and Employment Training Strategy and the Skills and Partnership Fund to help First Nations participate fully in the economy and find high-paying, high-quality jobs.","503",NA
"Maintaining programs such as the Opportunities Fund and the Enabling Accessibility Fund to help disabled Canadians participate in the job market.","503",NA
"Canada is a beacon of freedom and prosperity to people all around the world,","601",NA
"and attracts countless immigrants every year seeking a better place to raise their families and pursue their dreams.","601",NA
"But too often they find it challenging to pursue their careers here because of difficulties having their professional credentials recognized, leaving them under-employed and unable to maximize both their own potential and their contribution to our country.","503",NA
"In fact, this problem costs the Canadian economy about $2 billion every year.","503",NA
"Our Government has worked hard to help new Canadians in this position.","503",NA
"In 2011 we launched a pilot program that provided loans to support new Canadians who needed help with training and licensing to have their international credentials recognized here in Canada.","411",NA
"It was a significant success, distributing 2,000 loans across the country – and recovering more than 99 percent of the money lent.","411",NA
"So in Economic Action Plan 2015, we made this program permanent.","411",NA
"A re-elected Conservative Government will build on this success story by doubling the size of the program,","411",NA
"and setting a goal of providing as many as 20,000 foreign credential recognition loans over the next four years.","411",NA
"We'll also work with the provinces and territories, through the Pan-Canadian Framework for the Assessment and Recognition of Foreign Qualifications,","301",NA
"to improve the service standards for accreditation decisions for target, high-demand occupations under the Framework from one year to 60 days.","411",NA
"The Canada Job Grant is the most important reform to federal skills-training program in decades.","411",NA
"The new Canada Job Grant helps employers train new or existing employees for jobs that need to be filled.","411",NA
"It's providing federal grants of up to $10,000 per worker for skills upgrades, on the condition that the training is tied to new or better jobs.","411",NA
"The program is working.","305",NA
"Nearly 50,000 grants have been funded to date.","411",NA
"A re-elected Conservative Government will continue to support the Canada Job Grant","411",NA
"and consider ways to build on its success in other job-training programs.","411",NA
"OUR WORLD-LEADING IMMIGRATION SYSTEM",NA,NA
"Canada is a welcoming country and attracts many of the world's best and brightest who are searching for freedom and opportunity, while continuing our tradition of family reunification and refugee protection.","601",NA
"Our Conservative Government has maintained immigration at historically high levels, attracting newcomers who have the skills and experience our economy needs.","705",NA
"Since 2006, we have welcomed over 2.5 million new permanent residents, including 240,000 refugees,","705",NA
"and have sworn-in 1.6 million new Canadian citizens.","601",NA
"To ensure that newcomers succeed, while growing the Canadian economy,","410",NA
"the Conservative Government has made important reforms, including:   Moving to a fast and flexible immigration system","303",NA
"where the priority focus is on meeting Canada's labour market needs.","403",NA
"Creating the Canadian Experience class that invites foreign students who have graduated from Canadian universities and colleges to stay and obtain permanent residency.","705",NA
"Radically improving the geographic distribution of immigrants across Canada, partly by increasing the Provincial Nominee Programs by tenfold.","705",NA
"Eliminating massive backlogs created by previous Liberal governments that left aspiring Canadians waiting for years.","303",NA
"Establishing a new Expression of Interest system that shifts from a passive processing of applications to fast-tracking of applicants with jobs offers or in-demand skills.","403",NA
"Reforming the Temporary Foreign Worker Program to prevent abuses,","403",NA
"and ensure that Canadians always get the first chance at available jobs.","403",NA
"Increasing family reunification by 10%,","503",NA
"while introducing the popular new ten-year multiple-entry Super Visa for parents and grandparents.","705",NA
"Cutting the Liberals' right of landing fee in half, saving newcomers hundreds of millions of dollars.","705",NA
"Tripling funding for settlement services, like free language classes and job search skills.","411",NA
"Creating free pre-arrival orientation counselling for selected economic immigrants to help them get a head start on credential recognition and finding employment before they get to Canada.","411",NA
"While our government has welcomed a record number of newcomers, we have also strengthened the integrity of our immigration system,","605",NA
"cracking down on those who would abuse Canada's generosity by:   Adopting the Cracking Down on Crooked Immigration Consultants Act,","605",NA
"and designating a stronger new regulatory body for immigration consultants.","605",NA
"Combatting immigration marriage fraud with a two-year residency requirement, which has resulted in a significant decline in commercial marriages of convenience.","605",NA
"Reforming the asylum system to ensure that bona fide refugee claimants get protection, and bogus claimants are removed, in months rather than years.","605",NA
"This has led to a large reduction in the number of unfounded asylum claims being made in Canada.","605",NA
